priority,collection_id
2,Bad Waldsee Baden-Württemberg
2,Bad Wiessee Bayern
2,Bad Wildbad Baden-Württemberg
2,Bad Wildungen Hessen
2,Bad Wilsnack Brandenburg
2,Bad Wimpfen Baden-Württemberg
2,Bad Windsheim Bayern
2,Bad Wörishofen Bayern
2,Bad Wünnenberg Nordrhein-Westfalen
2,Bad Wurzach Baden-Württemberg
2,Bad Zwesten Hessen
2,Bad Zwischenahn Niedersachsen
2,Baesweiler Nordrhein-Westfalen
2,Bahlingen Baden-Württemberg
2,Bahrdorf Niedersachsen
2,Bahrenborstel Niedersachsen
2,Bahrenfleth Schleswig-Holstein
2,Bahrenhof Schleswig-Holstein
2,Bahretal Sachsen
2,Baienfurt Baden-Württemberg
2,Baierbach Bayern
2,Baierbrunn Bayern
2,Baiern Bayern
2,Baiersbronn Baden-Württemberg
2,Baiersdorf Bayern
2,Baindt Baden-Württemberg
2,Baisweil Bayern
2,Bäk Schleswig-Holstein
2,Bakum Niedersachsen
2,Bälau Schleswig-Holstein
2,Balderschwang Bayern
2,Baldringen Rheinland-Pfalz
2,Balduinstein Rheinland-Pfalz
2,Balesfeld Rheinland-Pfalz
2,Balge Niedersachsen
2,Balgheim Baden-Württemberg
2,Balgstädt Sachsen-Anhalt
2,Balingen Baden-Württemberg
2,Balje Niedersachsen
2,Ballendorf Baden-Württemberg
2,Ballenstedt Sachsen-Anhalt
2,Ballhausen Thüringen
2,Ballrechten-Dottingen Baden-Württemberg
2,Ballstädt Thüringen
2,Ballstedt Thüringen
2,Balow Mecklenburg-Vorpommern
2,Baltmannsweiler Baden-Württemberg
2,Baltrum Niedersachsen
2,Balve Nordrhein-Westfalen
2,Balzhausen Bayern
2,Balzheim Baden-Württemberg
2,Bamberg Bayern
2,Bammental Baden-Württemberg
2,Bandelin Mecklenburg-Vorpommern
2,Bandenitz Mecklenburg-Vorpommern
2,Bann Rheinland-Pfalz
2,Bannberscheid Rheinland-Pfalz
2,Bannewitz Sachsen
2,Banzkow Mecklenburg-Vorpommern
2,Barbelroth Rheinland-Pfalz
2,Barbing Bayern
2,Barby Sachsen-Anhalt
2,Barchfeld-Immelborn Thüringen
2,Bardowick Niedersachsen
2,Bärenbach Rheinland-Pfalz
2,Barenburg Niedersachsen
2,Barendorf Niedersachsen
2,Bärenstein Sachsen
2,Bärenthal Baden-Württemberg
2,Bargenstedt Schleswig-Holstein
2,Bargfeld-Stegen Schleswig-Holstein
2,Bargischow Mecklenburg-Vorpommern
2,Bargstall Schleswig-Holstein
2,Bargstedt Niedersachsen
2,Bargstedt Schleswig-Holstein
2,Bargteheide Schleswig-Holstein
2,Bargum Schleswig-Holstein
2,Bark Schleswig-Holstein
2,Barkelsby Schleswig-Holstein
2,Barkenholm Schleswig-Holstein
2,Barkhagen Mecklenburg-Vorpommern
2,Barleben Sachsen-Anhalt
2,Barlt Schleswig-Holstein
2,Barmissen Schleswig-Holstein
2,Barmstedt Schleswig-Holstein
2,Bärnau Bayern
2,Barnekow Mecklenburg-Vorpommern
2,Barnin Mecklenburg-Vorpommern
2,Barnitz Schleswig-Holstein
2,Barnstädt Sachsen-Anhalt
2,Barnstedt Niedersachsen
2,Barnstorf Niedersachsen
2,Barntrup Nordrhein-Westfalen
2,Barsbek Schleswig-Holstein
2,Barsbüttel Schleswig-Holstein
2,Barsinghausen Niedersachsen
2,Barßel Niedersachsen
2,Bartenshagen-Parkentin Mecklenburg-Vorpommern
2,Barth Mecklenburg-Vorpommern
2,Bartholomä Baden-Württemberg
2,Bartow Mecklenburg-Vorpommern
2,Barum Niedersachsen
2,Baruth/Mark Brandenburg
2,Barver Niedersachsen
2,Barwedel Niedersachsen
2,Barweiler Rheinland-Pfalz
2,Bärweiler Rheinland-Pfalz
2,Basberg Rheinland-Pfalz
2,Basdahl Niedersachsen
2,Basedow Mecklenburg-Vorpommern
2,Basedow Schleswig-Holstein
2,Bassenheim Rheinland-Pfalz
2,Bassum Niedersachsen
